rtcDate,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,-119.63,-89.84,-966.31,-0.53,-2.96,0.21,-58.50,20.10,-58.80,26.13,10.29,
01/01/2000,-95.21,-88.87,-980.96,-0.44,-1.14,1.12,-57.45,19.80,-57.45,26.18,333.33,
01/01/2000,-121.58,-89.84,-968.75,0.89,-2.76,-0.17,-55.50,21.60,-57.30,25.74,19.42,
01/01/2000,-118.65,-84.47,-981.45,-1.34,-3.56,0.69,-57.45,19.80,-58.20,26.18,14.78,
01/01/2000,-88.87,-89.36,-967.77,0.65,-0.94,0.24,-57.75,20.10,-58.80,26.18,13.20,
01/01/2000,-98.14,-101.56,-967.29,-0.45,-1.33,-1.11,-58.05,20.10,-58.05,26.32,12.41,
01/01/2000,-112.30,-102.05,-967.77,-1.92,-1.56,-2.72,-57.30,20.40,-56.55,26.13,11.93,
01/01/2000,-103.52,-94.73,-972.17,-1.36,-0.46,-1.60,-57.90,20.55,-57.15,25.98,11.61,
01/01/2000,-101.56,-79.10,-970.70,-1.65,-0.40,-0.19,-56.40,21.00,-57.90,25.98,11.38,
01/01/2000,-106.45,-95.70,-969.73,-0.52,0.31,-0.96,-58.50,20.85,-56.55,25.94,11.21,
01/01/2000,-99.61,-97.17,-972.17,-0.21,-2.71,0.63,-58.20,19.50,-59.70,26.13,11.07,
01/01/2000,-109.86,-99.12,-979.49,0.70,-3.59,2.75,-56.25,20.40,-57.30,26.03,10.97,
01/01/2000,-107.91,-98.63,-974.61,1.52,-1.70,-0.29,-58.20,21.00,-57.90,26.13,10.88,
01/01/2000,-101.07,-98.63,-974.12,1.74,-2.89,0.78,-56.10,21.75,-57.15,26.03,10.81,
01/01/2000,-117.19,-100.10,-971.68,-0.36,-1.65,1.66,-57.30,20.40,-57.75,26.03,10.74,
01/01/2000,-111.33,-80.57,-970.70,-2.08,-1.34,-1.82,-57.15,20.55,-57.15,25.98,10.69,
01/01/2000,-89.84,-94.24,-979.98,-0.84,-2.13,-1.76,-59.25,21.15,-58.80,26.18,10.65,
01/01/2000,-120.12,-105.96,-977.05,-3.56,-1.31,-1.43,-57.30,20.85,-59.10,26.27,10.61,
01/01/2000,-100.10,-94.73,-975.10,-0.45,-2.69,-2.01,-58.80,20.10,-57.30,25.65,10.57,
01/01/2000,-96.68,-90.82,-979.00,0.27,-0.99,-1.59,-57.00,21.60,-57.75,26.27,10.54,
01/01/2000,-110.84,-94.24,-967.77,-1.31,-2.92,-0.89,-58.05,20.85,-57.75,25.94,10.51,
01/01/2000,-109.38,-101.07,-974.61,-0.22,-3.71,-0.75,-56.55,21.60,-58.50,25.98,10.48,
01/01/2000,-102.05,-100.10,-979.98,-0.32,-1.18,0.40,-57.30,19.65,-57.75,26.13,10.46,
01/01/2000,-90.82,-106.93,-959.47,1.08,-1.42,-0.66,-57.45,21.00,-57.90,26.13,10.44,
01/01/2000,-100.59,-94.24,-968.26,3.06,-2.87,0.64,-57.15,21.00,-56.85,26.18,10.42,
01/01/2000,-113.28,-109.86,-959.96,-1.04,-1.69,-0.30,-57.75,21.15,-57.75,25.94,10.40,
01/01/2000,-101.07,-100.10,-981.93,-1.80,-1.78,-0.89,-57.00,20.40,-58.05,26.18,10.39,
01/01/2000,-106.93,-100.10,-978.03,-1.47,1.15,0.60,-58.05,20.40,-57.75,26.13,10.37,
01/01/2000,-104.49,-94.24,-983.89,-1.53,-0.77,-1.59,-57.00,20.40,-57.75,25.98,10.36,
01/01/2000,-103.03,-84.47,-985.84,-2.47,-2.37,-1.85,-57.45,21.00,-58.20,25.98,10.35,
01/01/2000,-100.10,-86.91,-976.07,-1.05,-0.66,-1.80,-57.75,21.15,-58.05,26.13,10.33,
01/01/2000,-104.00,-96.19,-976.56,-1.54,-0.69,-1.56,-57.00,21.15,-56.25,26.13,10.32,
01/01/2000,-99.12,-83.98,-980.96,-0.60,-2.48,-0.18,-57.45,21.45,-58.65,26.32,10.31,
01/01/2000,-104.00,-111.82,-971.68,0.29,-2.15,0.62,-57.30,20.85,-56.25,25.98,10.30,
01/01/2000,-103.52,-97.66,-976.07,1.09,-3.18,2.20,-56.10,21.00,-57.45,25.94,10.29,
01/01/2000,-103.03,-90.33,-970.21,-0.40,-2.21,-0.34,-56.70,19.80,-58.20,26.03,10.29,
01/01/2000,-118.16,-89.84,-980.47,0.58,-2.03,1.39,-56.25,21.60,-57.75,25.98,10.27,
01/01/2000,-99.12,-104.98,-978.52,0.09,-0.70,-1.45,-57.75,20.40,-57.75,26.27,10.27,
01/01/2000,-108.89,-96.68,-974.61,-2.28,-0.83,0.73,-57.90,21.45,-58.20,26.18,10.26,
01/01/2000,-106.45,-100.59,-975.10,-2.05,1.18,-0.79,-56.70,19.80,-57.15,26.18,10.25,
01/01/2000,-94.73,-94.24,-960.94,-2.67,-1.75,-0.41,-57.15,21.00,-57.45,26.18,10.25,
01/01/2000,-117.19,-95.70,-974.61,-2.52,0.15,0.19,-57.30,20.10,-58.50,25.79,10.24,
01/01/2000,-102.54,-98.63,-968.26,1.75,-1.35,0.18,-57.15,21.75,-57.45,26.03,10.23,
01/01/2000,-107.91,-107.91,-986.33,0.33,-2.63,-0.29,-57.30,22.35,-56.55,25.84,10.23,
01/01/2000,-105.96,-90.33,-972.66,-0.21,-2.84,1.28,-57.75,20.85,-58.05,26.13,10.22,
01/01/2000,-112.30,-86.91,-972.17,0.40,-1.18,-0.24,-57.30,20.40,-57.75,25.98,10.22,
01/01/2000,-109.86,-94.73,-971.19,0.12,-2.50,1.02,-58.65,20.25,-58.20,25.98,10.21,
01/01/2000,-114.75,-92.77,-974.61,0.10,-1.46,2.19,-58.50,20.85,-57.30,26.13,10.21,
01/01/2000,-97.17,-93.26,-974.61,-1.48,0.02,-0.57,-57.45,19.05,-58.20,25.98,10.20,
01/01/2000,-95.70,-109.38,-977.54,0.31,-2.07,0.31,-58.05,19.65,-58.50,26.13,10.20,
01/01/2000,-107.42,-105.96,-974.12,-1.10,-2.07,-0.68,-57.00,20.10,-56.55,25.98,10.20,
01/01/2000,-113.28,-106.93,-973.63,-2.37,-1.56,0.01,-58.20,20.55,-58.65,26.18,10.19,
01/01/2000,-104.49,-97.66,-965.82,-2.08,0.42,-0.70,-58.50,19.65,-58.50,26.27,10.19,
01/01/2000,-97.17,-91.31,-988.77,-0.05,-3.08,2.05,-57.30,21.15,-58.05,26.27,10.18,
01/01/2000,-112.30,-92.29,-968.75,0.85,-1.50,0.76,-57.90,20.55,-58.95,26.27,10.18,
01/01/2000,-101.07,-92.29,-971.68,0.19,-4.38,1.73,-58.65,21.00,-57.45,26.13,10.18,
01/01/2000,-106.93,-104.00,-979.49,0.94,-1.91,0.36,-56.70,21.00,-57.45,26.13,10.17,
01/01/2000,-110.84,-93.26,-980.96,-1.52,-1.39,0.07,-58.20,20.25,-58.20,25.84,10.17,
01/01/2000,-97.66,-97.66,-978.52,-0.10,-0.86,0.41,-57.75,19.65,-57.30,26.18,10.17,
01/01/2000,-97.66,-104.00,-975.59,0.59,-2.42,2.10,-57.75,20.40,-56.25,25.98,10.17,
01/01/2000,-110.35,-93.75,-984.38,-1.96,-1.47,1.28,-57.15,21.45,-57.90,26.27,10.16,
01/01/2000,-100.10,-107.42,-979.00,-2.37,-1.79,-1.88,-57.75,21.60,-56.55,26.03,10.16,
01/01/2000,-108.89,-94.73,-988.28,-0.79,-1.02,0.44,-57.00,20.85,-57.30,26.18,10.16,
01/01/2000,-103.52,-105.47,-971.68,-3.00,1.37,-0.55,-58.50,20.85,-56.55,26.32,10.15,
01/01/2000,-110.35,-86.43,-975.10,-2.67,-1.33,-1.85,-58.65,21.00,-58.20,25.74,10.15,
01/01/2000,-110.35,-98.14,-983.40,-0.02,1.46,-1.46,-57.15,19.80,-58.20,26.13,10.15,
01/01/2000,-106.93,-81.05,-972.66,-0.85,-2.21,1.42,-57.15,19.80,-57.15,25.79,10.15,
01/01/2000,-101.56,-92.77,-974.61,0.50,-0.73,0.28,-57.90,20.55,-57.15,26.18,10.15,
01/01/2000,-94.73,-101.07,-966.31,-0.24,-1.95,0.40,-57.15,20.55,-57.15,26.03,10.14,
01/01/2000,-106.93,-91.31,-974.12,0.40,-2.74,0.10,-58.50,19.65,-56.55,26.32,10.14,
01/01/2000,-102.54,-95.21,-966.31,0.50,-1.91,0.13,-57.30,20.40,-58.05,26.18,10.14,
01/01/2000,-98.14,-104.00,-971.19,0.29,-0.82,0.20,-56.70,20.25,-56.85,26.18,10.14,
01/01/2000,-111.33,-93.26,-972.66,-1.53,-1.49,-0.38,-57.90,20.55,-57.15,26.13,10.14,
01/01/2000,-97.66,-91.31,-980.47,-1.75,-1.80,-1.75,-57.00,20.40,-57.75,25.94,10.13,
01/01/2000,-108.89,-92.29,-972.66,-0.85,-2.10,-0.65,-56.70,21.45,-57.45,25.98,10.13,
01/01/2000,-111.82,-105.47,-978.03,-0.96,-0.81,-2.07,-57.15,21.45,-55.65,26.03,10.13,
01/01/2000,-111.82,-96.19,-961.91,-2.32,-2.05,-3.11,-57.15,21.00,-57.90,25.98,10.13,
01/01/2000,-102.54,-97.17,-977.05,-2.57,1.48,-1.45,-57.75,20.40,-57.00,26.13,10.13,
01/01/2000,-104.00,-102.54,-970.21,2.21,-2.32,1.23,-56.40,21.75,-56.85,26.32,10.12,
01/01/2000,-95.21,-88.38,-968.26,-0.82,-2.83,1.48,-57.90,21.75,-57.15,25.98,10.12,
01/01/2000,-115.23,-98.14,-970.70,-0.21,-2.05,-0.01,-57.00,20.40,-57.75,25.84,10.12,
01/01/2000,-95.21,-94.24,-981.93,-0.49,-2.98,1.28,-58.20,20.25,-57.15,26.13,10.12,
01/01/2000,-103.52,-92.29,-964.36,0.94,-1.89,0.54,-56.55,20.85,-57.00,25.98,10.12,
01/01/2000,-118.16,-85.94,-974.12,-0.76,-1.40,0.95,-57.00,20.40,-58.05,25.98,10.12,
01/01/2000,-97.17,-100.10,-978.03,-2.78,1.03,-0.07,-58.50,19.65,-58.80,26.03,10.12,
01/01/2000,-96.68,-105.96,-966.31,-1.34,-2.51,-1.11,-57.30,20.40,-57.75,26.18,10.11,
01/01/2000,-105.96,-92.29,-979.00,-1.63,-0.53,-0.88,-57.90,19.50,-57.45,26.18,10.11,
01/01/2000,-104.00,-114.26,-979.98,-0.90,-0.11,-0.92,-57.00,21.60,-57.30,25.79,10.11,
01/01/2000,-98.63,-86.43,-974.12,-0.57,0.12,-0.50,-56.70,20.55,-59.70,26.18,10.11,
01/01/2000,-103.52,-96.68,-963.87,0.76,-2.99,-0.63,-56.70,21.45,-56.85,25.94,10.11,
01/01/2000,-109.38,-96.68,-971.19,-0.66,-3.80,0.49,-57.15,21.45,-58.20,26.27,10.11,
01/01/2000,-99.12,-79.59,-973.63,1.11,-3.79,0.68,-57.45,21.45,-56.40,25.98,10.11,
01/01/2000,-105.96,-96.19,-980.47,-0.47,-2.35,2.23,-58.20,21.45,-58.95,25.98,10.11,
01/01/2000,-104.49,-102.05,-969.24,-0.89,-1.09,3.06,-56.70,21.45,-57.15,26.27,10.10,
01/01/2000,-109.38,-94.73,-980.96,-2.14,0.50,3.44,-57.45,19.80,-57.15,26.13,10.10,
01/01/2000,-111.33,-85.45,-981.45,-3.21,-0.59,-0.40,-57.75,20.85,-56.55,26.27,10.10,
01/01/2000,-111.33,-99.12,-977.54,-2.13,0.40,-2.55,-55.65,21.00,-57.45,25.94,10.10,
01/01/2000,-112.30,-100.59,-972.66,-2.34,-0.66,1.51,-57.45,20.25,-56.40,25.94,10.10,
01/01/2000,-98.14,-98.14,-980.47,0.13,-1.02,-3.00,-57.75,23.10,-58.50,26.18,10.10,
01/01/2000,-103.52,-79.59,-974.12,0.90,-2.56,0.88,-56.70,22.50,-57.15,26.03,10.10,
01/01/2000,-115.23,-105.96,-972.66,-0.57,-4.06,0.37,-57.75,21.90,-58.80,26.27,10.10,
01/01/2000,-99.12,-85.94,-979.98,-0.11,-2.95,1.32,-57.15,21.45,-58.65,26.27,10.10,
01/01/2000,-103.03,-90.82,-970.21,-0.26,-1.85,1.57,-57.30,20.40,-57.75,26.03,10.10,
01/01/2000,-94.24,-83.50,-973.63,-3.72,0.38,-0.73,-57.90,21.00,-58.65,26.13,10.09,
01/01/2000,-100.59,-101.07,-986.33,-0.53,-0.02,-1.15,-57.45,21.00,-57.45,26.13,10.09,
01/01/2000,-104.49,-101.56,-979.49,0.37,1.39,0.04,-57.15,19.80,-57.90,25.98,10.09,
01/01/2000,-93.26,-94.24,-983.40,-2.82,-2.40,0.15,-57.30,20.40,-57.75,26.13,10.09,
01/01/2000,-100.10,-105.47,-980.47,-1.66,-2.40,-0.33,-58.95,21.00,-58.20,25.94,10.09,
01/01/2000,-105.96,-94.24,-970.21,-0.64,-1.05,-0.47,-57.90,21.75,-57.90,26.27,10.09,
01/01/2000,-86.91,-102.05,-969.73,-0.53,-4.60,0.98,-58.80,20.85,-58.50,26.03,10.09,
01/01/2000,-94.24,-97.17,-993.65,2.24,-4.02,0.82,-57.15,20.55,-57.90,26.27,10.09,
01/01/2000,-98.63,-97.17,-972.17,-0.08,-1.18,-0.60,-56.25,20.85,-58.05,26.03,10.09,
01/01/2000,-118.16,-102.05,-980.47,0.42,-0.30,0.28,-58.05,21.15,-58.05,25.84,10.09,
01/01/2000,-105.96,-101.56,-981.45,-3.96,-0.95,-1.02,-56.70,21.00,-58.20,26.18,10.09,
01/01/2000,-101.56,-101.56,-963.38,-0.70,0.95,-0.38,-57.90,19.05,-57.15,25.94,10.08,
01/01/2000,-130.86,-96.19,-981.93,-0.45,-1.27,-1.32,-58.50,21.60,-57.30,26.27,10.08,
01/01/2000,-109.38,-101.56,-979.00,-1.69,-0.02,-0.24,-57.15,21.45,-57.15,26.13,10.08,
01/01/2000,-97.66,-88.87,-977.05,-3.88,0.76,-0.05,-58.80,19.65,-57.00,26.18,10.08,
01/01/2000,-108.89,-105.96,-970.70,-0.53,-0.47,-1.88,-57.45,19.80,-58.65,26.18,10.08,
01/01/2000,-101.56,-103.52,-973.14,1.99,-2.10,1.62,-56.40,22.20,-56.85,25.98,10.08,
01/01/2000,-100.59,-89.36,-962.40,0.24,-3.34,1.74,-57.90,21.00,-57.45,25.98,10.08,
01/01/2000,-107.91,-93.26,-976.56,-1.18,-0.66,0.27,-58.05,21.15,-58.80,25.79,10.08,
01/01/2000,-94.73,-101.56,-972.17,2.05,-1.27,0.46,-58.20,20.55,-58.20,26.18,10.08,
01/01/2000,-100.59,-100.10,-978.52,-0.40,0.37,-1.12,-56.40,20.25,-58.20,26.03,10.08,
01/01/2000,-100.59,-87.40,-971.19,-2.86,0.96,-3.76,-57.75,21.90,-57.75,26.03,10.08,
01/01/2000,-91.31,-94.24,-982.91,-1.65,-0.44,-0.85,-56.40,21.45,-57.45,26.03,10.08,
01/01/2000,-92.29,-91.31,-978.52,-2.08,0.66,-1.07,-57.90,21.00,-57.15,26.03,10.08,
01/01/2000,-108.40,-97.17,-989.75,0.85,-2.52,1.96,-57.90,21.75,-57.45,26.18,10.08,
01/01/2000,-107.42,-100.10,-982.42,0.98,0.27,-0.13,-57.15,21.45,-57.45,25.98,10.08,
01/01/2000,-96.19,-98.14,-972.66,2.44,-2.44,0.92,-57.90,20.55,-57.45,25.98,10.07,
01/01/2000,-108.40,-104.49,-974.12,0.52,-3.93,4.10,-57.45,21.45,-56.10,25.98,10.07,
01/01/2000,-95.21,-89.84,-982.91,1.26,-0.95,-0.15,-57.90,19.80,-57.90,26.18,10.07,
01/01/2000,-98.63,-95.70,-968.26,-2.46,-1.39,-0.34,-57.30,21.90,-57.75,25.84,10.07,
01/01/2000,-103.52,-89.84,-981.45,-0.34,-0.71,-0.34,-57.90,22.20,-57.90,26.03,10.07,
01/01/2000,-113.28,-106.45,-981.93,-0.64,-0.71,-0.09,-58.20,21.00,-57.90,26.03,10.07,
01/01/2000,-103.03,-100.10,-970.21,-2.25,-0.27,-0.40,-57.75,20.10,-57.75,26.13,10.07,
01/01/2000,-110.84,-106.93,-977.05,-0.98,-3.98,1.97,-57.75,20.40,-57.00,25.98,10.07,
01/01/2000,-98.14,-87.89,-965.33,-0.37,-2.73,1.40,-57.30,21.15,-57.75,26.13,10.07,
01/01/2000,-102.54,-98.63,-969.24,0.60,-2.24,0.30,-55.50,19.65,-57.75,26.13,10.07,
01/01/2000,-104.49,-90.82,-965.33,1.36,-2.77,1.24,-57.45,20.55,-57.15,25.94,10.07,
01/01/2000,-108.40,-98.63,-978.03,-2.90,-0.46,0.04,-57.15,21.00,-56.40,25.98,10.07,
01/01/2000,-98.63,-89.36,-972.66,-3.97,-0.11,-0.60,-57.75,19.65,-56.25,25.98,10.07,
01/01/2000,-110.84,-88.87,-979.00,-3.09,-0.88,-1.65,-57.30,20.10,-58.05,26.03,10.07,
01/01/2000,-89.36,-86.91,-973.63,-2.15,-0.66,-1.08,-57.00,20.40,-58.80,26.27,10.07,
01/01/2000,-102.54,-107.91,-966.80,-1.03,-0.78,-0.43,-56.10,21.00,-57.45,25.98,10.07,
01/01/2000,-99.12,-104.00,-964.84,-0.75,-1.32,0.46,-57.45,20.25,-57.45,25.98,10.07,
01/01/2000,-113.28,-90.82,-968.75,-0.70,-1.74,2.48,-56.55,20.85,-58.80,25.98,10.07,
01/01/2000,-91.31,-94.24,-977.54,0.41,-4.04,0.88,-57.45,20.55,-57.45,26.13,10.07,
01/01/2000,-97.66,-95.21,-974.61,2.28,-2.64,3.02,-55.65,19.50,-57.90,26.18,10.07,
01/01/2000,-110.35,-102.05,-982.91,0.67,-4.25,1.38,-58.50,20.85,-56.55,26.27,10.06,
01/01/2000,-104.98,-95.70,-969.24,-1.82,0.26,-0.86,-57.15,19.80,-57.90,25.94,10.06,
01/01/2000,-112.30,-104.00,-980.47,-1.55,-0.95,-2.24,-57.75,20.85,-57.30,25.94,10.06,
01/01/2000,-103.03,-94.73,-972.17,-3.54,0.89,-1.19,-55.80,20.40,-57.00,25.98,10.06,
01/01/2000,-108.89,-99.61,-974.12,-2.61,-0.23,-3.26,-57.45,20.25,-56.40,26.18,10.06,
01/01/2000,-97.17,-86.43,-983.40,-1.71,-0.81,-0.76,-55.35,20.55,-58.95,26.18,10.06,
01/01/2000,-102.54,-106.93,-979.49,1.11,-1.83,1.11,-57.15,20.25,-57.45,26.18,10.06,
01/01/2000,-111.33,-85.94,-973.14,0.29,-3.60,-0.34,-56.70,20.55,-58.20,26.18,10.06,
01/01/2000,-116.21,-98.63,-972.17,2.93,-0.56,2.37,-58.50,20.40,-57.00,25.98,10.06,
01/01/2000,-107.42,-89.36,-981.93,0.96,-1.09,0.83,-57.45,19.05,-57.90,26.13,10.06,
01/01/2000,-103.03,-92.29,-978.03,1.40,-2.83,-0.14,-55.65,20.55,-58.20,26.13,10.06,
01/01/2000,-114.26,-91.80,-970.70,-2.18,0.60,-1.10,-57.30,21.90,-57.00,26.18,10.06,
01/01/2000,-108.89,-104.98,-969.73,-1.31,0.02,1.03,-56.70,20.55,-58.20,26.32,10.06,
01/01/2000,-112.79,-99.61,-973.63,-0.44,-2.53,0.52,-57.00,20.85,-57.00,25.98,10.06,
01/01/2000,-109.38,-94.73,-956.05,-3.22,6.00,-1.60,-58.20,19.50,-56.85,25.94,10.06,
01/01/2000,-95.21,-90.33,-973.63,1.96,-10.75,0.60,-56.70,21.45,-58.95,25.94,10.06,
01/01/2000,-107.91,-93.26,-953.12,-1.08,2.18,1.37,-56.25,20.40,-58.50,26.27,10.06,
01/01/2000,-83.98,-87.89,-979.49,-2.76,3.60,-2.47,-57.90,19.50,-58.20,25.94,10.06,
01/01/2000,-97.17,-87.89,-979.00,-0.11,-1.76,-0.60,-58.50,21.60,-58.50,25.98,10.06,
01/01/2000,-92.29,-94.73,-984.86,0.54,0.03,-0.89,-57.75,20.40,-58.05,25.98,10.06,
01/01/2000,-95.70,-96.68,-961.91,-0.40,0.13,0.54,-57.00,20.85,-58.50,26.27,10.06,
01/01/2000,-93.26,-87.40,-967.29,0.06,-3.88,0.03,-57.00,21.15,-57.30,26.03,10.06,
01/01/2000,-102.54,-93.75,-977.05,-3.39,0.38,0.06,-57.00,19.65,-58.50,26.03,10.06,
01/01/2000,-91.31,-105.96,-966.31,0.21,-3.79,0.56,-57.30,19.65,-57.75,26.03,10.06,
01/01/2000,-92.77,-89.36,-972.66,-1.71,-3.30,0.92,-57.15,20.55,-58.20,26.18,10.06,
01/01/2000,-111.82,-105.96,-874.51,-2.05,-8.07,2.12,-57.90,18.75,-56.10,25.98,10.05,
01/01/2000,-124.02,-89.84,-962.89,0.43,-22.88,0.97,-57.75,20.40,-57.75,25.94,10.05,
01/01/2000,8.30,-10.74,-931.15,-25.92,68.01,-75.16,-55.80,20.85,-57.30,26.03,10.05,
01/01/2000,-145.02,-269.04,-1213.87,18.76,250.13,-113.84,-59.40,23.70,-54.90,26.13,10.05,
01/01/2000,-43.95,267.58,-221.68,-72.20,-28.95,33.01,-61.65,26.85,-54.60,26.03,10.05,
01/01/2000,-104.49,296.39,-856.93,-85.77,-64.08,9.08,-61.80,28.95,-55.50,25.98,10.05,
01/01/2000,46.88,408.20,-1199.22,-113.28,15.44,-147.20,-58.20,34.95,-56.10,25.94,10.05,
01/01/2000,94.73,329.59,-976.07,-63.28,101.72,-212.74,-58.20,46.50,-51.60,26.03,10.05,
01/01/2000,135.74,365.72,-1098.63,81.92,3.89,-31.45,-55.50,51.30,-48.60,26.18,10.05,
01/01/2000,-211.43,207.52,-997.07,66.10,-4.22,-58.18,-53.40,45.75,-52.35,25.98,10.05,
01/01/2000,79.59,194.34,-958.50,8.52,20.50,-97.32,-51.45,43.65,-56.25,25.98,10.05,
01/01/2000,-151.86,136.23,-999.51,-16.15,2.79,-41.97,-46.65,46.35,-55.80,25.94,10.05,
01/01/2000,-215.82,128.42,-990.72,6.26,29.71,-96.75,-44.85,45.75,-52.35,26.03,10.05,
01/01/2000,-51.76,259.77,-763.18,-23.05,46.87,-98.89,-42.90,47.85,-51.45,26.03,10.05,
01/01/2000,-226.07,152.34,-1073.24,-27.04,9.47,-85.60,-41.10,52.20,-48.15,26.13,10.05,
01/01/2000,-44.43,138.18,-1006.84,15.49,24.24,-59.17,-35.70,54.30,-50.25,25.94,10.05,
01/01/2000,-37.11,271.97,-815.92,-11.11,7.21,-38.44,-34.35,52.20,-51.45,26.03,10.05,
01/01/2000,32.71,418.46,-856.45,-5.95,-85.37,-74.79,-30.90,50.85,-51.30,26.13,10.05,
